"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 7 June 2015"," Confirmed","3239","38","2018"
"Guinea"," 7 June 2015"," Probable","419","Not reported.","419"
"Guinea"," 7 June 2015"," Suspected","12","Not reported.","Data not available."
"Guinea"," 7 June 2015"," Total","3670","38","2437"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 7 June 2015"," Confirmed","8635","30","3549"
"Sierra Leone"," 7 June 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 7 June 2015"," Suspected","3979","Not reported.","158"
"Sierra Leone"," 7 June 2015"," Total","12 901","30","3915"
"All countries","  "," Confirmed","15 025","68","Data not available."
"All countries","  "," Probable","2585","Not reported.","Data not available."
"All countries","  "," Suspected","9627","Not reported.","Data not available."
"All countries","  "," Total","27 237","68","11 158"
