"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 21 March 2015"," Confirmed","3007","1863"
"Guinea"," 21 March 2015"," Probable","398","398"
"Guinea"," 21 March 2015"," Suspected","15","Not available"
"Guinea"," 21 March 2015"," Total","3420","2261"
"Liberia"," 20 March 2015"," Confirmed","3151","Not available"
"Liberia"," 20 March 2015"," Probable","1879","Not available"
"Liberia"," 20 March 2015"," Suspected","4563","Not available"
"Liberia"," 20 March 2015"," Total","9593","4296"
"Sierra Leone"," 21 March 2015"," Confirmed","8518","3376"
"Sierra Leone"," 21 March 2015"," Probable","287","208"
"Sierra Leone"," 21 March 2015"," Suspected","3024","158"
"Sierra Leone"," 21 March 2015"," Total","11 829","3742"
"All countries","  "," Confirmed","14 676","Not available"
"All countries","  "," Probable","2564","Not available"
"All countries","  "," Suspected","7602","Not available"
"All countries","  "," Total","24 842","10 299"
