"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 14 December 2014"," Confirmed","2127","249","1262"
"Guinea"," 14 December 2014"," Probable","263","Not reported","263"
"Guinea"," 14 December 2014"," Suspected","26","Not reported","0"
"Guinea"," 14 December 2014"," Total","2416","249","1525"
"Liberia"," 9 December 2014"," Confirmed","2946","185","Data not available."
"Liberia"," 9 December 2014"," Probable","1801","Not reported","Data not available."
"Liberia"," 9 December 2014"," Suspected","3050","Not reported","Data not available."
"Liberia"," 9 December 2014"," Total","7797","185","3290"
"Sierra Leone"," 14 December 2014"," Confirmed","6702","1261","1876"
"Sierra Leone"," 14 December 2014"," Probable","79","Not reported","174"
"Sierra Leone"," 14 December 2014"," Suspected","1575","Not reported","35"
"Sierra Leone"," 14 December 2014"," Total","8356","1261","2085"
"All countries","  "," Total","18 569","1695","6900"
