"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 11 January 2015"," Confirmed","2514","230","1530"
"Guinea"," 11 January 2015"," Probable","284","Not reported","284"
"Guinea"," 11 January 2015"," Suspected","8","Not reported","Data not available. "
"Guinea"," 11 January 2015"," Total","2806","230","1814"
"Liberia"," 11 January 2015"," Confirmed","3127","48","Data not available. "
"Liberia"," 11 January 2015"," Probable","1839","Not reported","Data not available. "
"Liberia"," 11 January 2015"," Suspected","3365","Not reported","Data not available. "
"Liberia"," 11 January 2015"," Total","8331","48","3538"
"Sierra Leone"," 11 January 2015"," Confirmed","7786","769","2696"
"Sierra Leone"," 11 January 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 11 January 2015"," Suspected","2051","Not reported","158"
"Sierra Leone"," 11 January 2015"," Total","10 124","769","3062"
"All countries","  "," Total","21 261","1047","8414"
