"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 26 April 2015"," Confirmed","3158","69","1962"
"Guinea"," 26 April 2015"," Probable","415","Not reported.","415"
"Guinea"," 26 April 2015"," Suspected","11","Not reported.","Data not available."
"Guinea"," 26 April 2015"," Total","3584","69","2377"
"Liberia"," 23 April 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 23 April 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 23 April 2015"," Suspected","5292","Not reported.","Data not available."
"Liberia"," 23 April 2015"," Total","10 322","0","4608"
"Sierra Leone"," 26 April 2015"," Confirmed","8586","32","3533"
"Sierra Leone"," 26 April 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 26 April 2015"," Suspected","3498","Not reported.","158"
"Sierra Leone"," 26 April 2015"," Total","12 371","32","3899"
"All countries","  "," Confirmed","14 895","101","Data not available."
"All countries","  "," Probable","2581","Not reported.","Data not available."
"All countries","  "," Suspected","8801","Not reported.","Data not available."
"All countries","  "," Total","26 277","101","10 884"
