"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 25 January 2015"," Confirmed","2569","92","1578"
"Guinea"," 25 January 2015"," Probable","332","Not reported","332"
"Guinea"," 25 January 2015"," Suspected","16","Not reported","Data not available"
"Guinea"," 25 January 2015"," Total","2917","92","1910"
"Liberia"," 25 January 2015"," Confirmed","3138","20","Data not available"
"Liberia"," 25 January 2015"," Probable","1864","Not reported","Data not available"
"Liberia"," 25 January 2015"," Suspected","3620","Not reported","Data not available"
"Liberia"," 25 January 2015"," Total","8622","20","3686"
"Sierra Leone"," 25 January 2015"," Confirmed","7968","366","2833"
"Sierra Leone"," 25 January 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 25 January 2015"," Suspected","2263","Not reported","158"
"Sierra Leone"," 25 January 2015"," Total","10 518","366","3199"
"All countries","  "," Total","22 057","478","8795"
