"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 22 March 2015"," Confirmed","3011","198","1865"
"Guinea"," 22 March 2015"," Probable","398","Not reported","398"
"Guinea"," 22 March 2015"," Suspected","20","Not reported","Data not available. "
"Guinea"," 22 March 2015"," Total","3429","198","2263"
"Liberia"," 22 March 2015"," Confirmed","3151","1","Data not available. "
"Liberia"," 22 March 2015"," Probable","1879","Not reported","Data not available. "
"Liberia"," 22 March 2015"," Suspected","4572","Not reported","Data not available. "
"Liberia"," 22 March 2015"," Total","9602","1","4301"
"Sierra Leone"," 22 March 2015"," Confirmed","8520","146","3381"
"Sierra Leone"," 22 March 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 22 March 2015"," Suspected","3034","Not reported","158"
"Sierra Leone"," 22 March 2015"," Total","11 841","146","3747"
"All countries"," 22 March 2015"," Confirmed","14 682","345","Data not available. "
"All countries"," 22 March 2015"," Probable","2564","Not reported","Data not available. "
"All countries"," 22 March 2015"," Suspected","7626","Not reported","Data not available. "
"All countries"," 22 March 2015"," Total","24 872","345","10 311"
