"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 15 March 2015"," Confirmed","2966","204","1829"
"Guinea"," 15 March 2015"," Probable","395","Not reported","395"
"Guinea"," 15 March 2015"," Suspected","28","Not reported","Data not available"
"Guinea"," 15 March 2015"," Total","3389","204","2224"
"Liberia"," 15 March 2015"," Confirmed","3150","0","Data not available"
"Liberia"," 15 March 2015"," Probable","1879","Not reported","Data not available"
"Liberia"," 15 March 2015"," Suspected","4497","Not reported","Data not available"
"Liberia"," 15 March 2015"," Total","9526","0","4264"
"Sierra Leone"," 15 March 2015"," Confirmed","8487","194","3325"
"Sierra Leone"," 15 March 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 15 March 2015"," Suspected","2977","Not reported","158"
"Sierra Leone"," 15 March 2015"," Total","11 751","194","3691"
"All countries"," 15 March 2015"," Confirmed","14 603","398","Data not available"
"All countries"," 15 March 2015"," Probable","2561","Not reported","Data not available"
"All countries"," 15 March 2015"," Suspected","7502","Not reported","Data not available"
"All countries"," 15 March 2015"," Total","24 666","398","10 179"
