"","","Number of cases","Number of cases","Number of deaths"
"Country","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," Confirmed","1850","374","1050"
"Guinea"," Probable","210","Not reported","210"
"Guinea"," Suspected","74","Not reported","0"
"Guinea"," Total","2134","374","1260"
"Liberia"," Confirmed","2727","319","Not available"
"Liberia"," Probable","1754","Not reported","Not available"
"Liberia"," Suspected","2687","Not reported","Not available"
"Liberia"," Total","7168","319","3016"
"Sierra Leone"," Confirmed","5441","1339","1189"
"Sierra Leone"," Probable","79","Not reported","174"
"Sierra Leone"," Suspected","1079","Not reported","35"
"Sierra Leone"," Total","6599","1339","1398"
