"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 31 May 2015"," Confirmed","3223","49","2010"
"Guinea"," 31 May 2015"," Probable","419","Not reported.","419"
"Guinea"," 31 May 2015"," Suspected","10","Not reported.","Data not available."
"Guinea"," 31 May 2015"," Total","3652","49","2429"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 31 May 2015"," Confirmed","8620","23","3546"
"Sierra Leone"," 31 May 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 31 May 2015"," Suspected","3920","Not reported.","158"
"Sierra Leone"," 31 May 2015"," Total","12 827","23","3912"
"All countries","  "," Confirmed","14 994","72","Data not available."
"All countries","  "," Probable","2585","Not reported.","Data not available."
"All countries","  "," Suspected","9566","Not reported.","Data not available."
"All countries","  "," Total","27 145","72","11 147"
