"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 5 July 2015"," Confirmed","3287","42","2049"
"Guinea"," 5 July 2015"," Probable","450","Not reported.","450"
"Guinea"," 5 July 2015"," Suspected","11","Not reported.","Data not available."
"Guinea"," 5 July 2015"," Total","3748","42","2499"
"Liberia"," 5 July 2015"," Confirmed","3","3","1"
"Liberia"," 5 July 2015"," Probable","1","1","Data not available."
"Liberia"," 5 July 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 5 July 2015"," Total","4","4","1"
"Liberia"," 9 May 2015"," Confirmed","3151","","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","","4806"
"Sierra Leone"," 5 July 2015"," Confirmed","8674","25","3574"
"Sierra Leone"," 5 July 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 5 July 2015"," Suspected","4194","Not reported.","158"
"Sierra Leone"," 5 July 2015"," Total","13 155","25","3940"
"All countries","  "," Confirmed","15 115","70","Data not available."
"All countries","  "," Probable","2617","1","Data not available."
"All countries","  "," Suspected","9841","Not reported.","Data not available."
"All countries","  "," Total","27 573","71","11 246"
