"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 3 May 2015"," Confirmed","3167","50","1971"
"Guinea"," 3 May 2015"," Probable","415","Not reported.","415"
"Guinea"," 3 May 2015"," Suspected","7","Not reported.","Data not available."
"Guinea"," 3 May 2015"," Total","3589","50","2386"
"Liberia"," 3 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 3 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 3 May 2015"," Suspected","5534","Not reported.","Data not available."
"Liberia"," 3 May 2015"," Total","10 564","0","4716"
"Sierra Leone"," 3 May 2015"," Confirmed","8595","32","3537"
"Sierra Leone"," 3 May 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 3 May 2015"," Suspected","3558","Not reported.","158"
"Sierra Leone"," 3 May 2015"," Total","12 440","32","3903"
"All countries","  "," Confirmed","14 913","82","Data not available."
"All countries","  "," Probable","2581","Not reported.","Data not available."
"All countries","  "," Suspected","9099","Not reported.","Data not available."
"All countries","  "," Total","26 593","82","11 005 "
