"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 26 April 2015"," Confirmed","3158","1962"
"Guinea"," 26 April 2015"," Probable","415","415"
"Guinea"," 26 April 2015"," Suspected","11","Not available"
"Guinea"," 26 April 2015"," Total","3584","2377"
"Liberia"," 23 April 2015"," Confirmed","3151","Not available"
"Liberia"," 23 April 2015"," Probable","1879","Not available"
"Liberia"," 23 April 2015"," Suspected","5292","Not available"
"Liberia"," 23 April 2015"," Total","10 322","4608"
"Sierra Leone"," 26 April 2015"," Confirmed","8586","3533"
"Sierra Leone"," 26 April 2015"," Probable","287","208"
"Sierra Leone"," 26 April 2015"," Suspected","3498","158"
"Sierra Leone"," 26 April 2015"," Total","12 371","3899"
"All countries","  "," Confirmed","14 895","Not available"
"All countries","  "," Probable","2581","Not available"
"All countries","  "," Suspected","8801","Not available"
"All countries","  "," Total","26 277","10 884"
