"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 1 March 2015"," Confirmed","2813","138","1737"
"Guinea"," 1 March 2015"," Probable","392","Not reported","392"
"Guinea"," 1 March 2015"," Suspected","14","Not reported","Data not available"
"Guinea"," 1 March 2015"," Total","3219","138","2129"
"Liberia"," 1 March 2015"," Confirmed","3150","6","Data not available"
"Liberia"," 1 March 2015"," Probable","1877","Not reported","Data not available"
"Liberia"," 1 March 2015"," Suspected","4222","Not reported","Data not available"
"Liberia"," 1 March 2015"," Total","9249","6","4117"
"Sierra Leone"," 1 March 2015"," Confirmed","8370","240","3180"
"Sierra Leone"," 1 March 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 1 March 2015"," Suspected","2809","Not reported","158"
"Sierra Leone"," 1 March 2015"," Total","11 466","240","3546"
"All countries"," 1 March 2015"," Confirmed","14 333","384","Data not available"
"All countries"," 1 March 2015"," Probable","2556","Not reported","Data not available"
"All countries"," 1 March 2015"," Suspected","7045","Not reported","Data not available"
"All countries"," 1 March 2015"," Total","23 934","384","9792"
