"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 15 February 2015"," Confirmed","2727","156","1683"
"Guinea"," 15 February 2015"," Probable","374","Not reported","374"
"Guinea"," 15 February 2015"," Suspected","7","Not reported","Data not available."
"Guinea"," 15 February 2015"," Total","3108","156","2057"
"Liberia"," 12 February 2015"," Confirmed","3149","11","Data not available."
"Liberia"," 12 February 2015"," Probable","1876","Not reported","Data not available."
"Liberia"," 12 February 2015"," Suspected","3982","Not reported","Data not available."
"Liberia"," 12 February 2015"," Total","9007","11","3900"
"Sierra Leone"," 15 February 2015"," Confirmed","8212","230","3042"
"Sierra Leone"," 15 February 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 15 February 2015"," Suspected","2604","Not reported","158"
"Sierra Leone"," 15 February 2015"," Total","11 103","230","3408"
"All countries"," 15 February 2015"," Total","23 218","397","9365"
