"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 28 December 2014"," Confirmed","2397","346","1433"
"Guinea"," 28 December 2014"," Probable","276","Not reported","276"
"Guinea"," 28 December 2014"," Suspected","34","Not reported","0"
"Guinea"," 28 December 2014"," Total","2707","346","1709"
"Liberia"," 28 December 2014"," Confirmed","3110","92","Not available"
"Liberia"," 28 December 2014"," Probable","1776","Not reported","Not available"
"Liberia"," 28 December 2014"," Suspected","3132","Not reported","Not available"
"Liberia"," 28 December 2014"," Total","8018","92","3423"
"Sierra Leone"," 28 December 2014"," Confirmed","7354","979","2392"
"Sierra Leone"," 28 December 2014"," Probable","287","Not reported","208"
"Sierra Leone"," 28 December 2014"," Suspected","1805","Not reported","158"
"Sierra Leone"," 28 December 2014"," Total","9446","979","2758"
"All countries","  "," Total","20 171","1417","7890"
