"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 8 March 2015"," Confirmed","2871","144","1778"
"Guinea"," 8 March 2015"," Probable","392","Not reported","392"
"Guinea"," 8 March 2015"," Suspected","22","Not reported","Data not available."
"Guinea"," 8 March 2015"," Total","3285","144","2170"
"Liberia"," 5 March 2015"," Confirmed","3150","4","Data not available."
"Liberia"," 5 March 2015"," Probable","1879","Not reported","Data not available."
"Liberia"," 5 March 2015"," Suspected","4314","Not reported","Data not available."
"Liberia"," 5 March 2015"," Total","9343","4","4162"
"Sierra Leone"," 8 March 2015"," Confirmed","8428","202","3263"
"Sierra Leone"," 8 March 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 8 March 2015"," Suspected","2904","Not reported","158"
"Sierra Leone"," 8 March 2015"," Total","11 619","202","3629"
"All countries"," 8 March 2015"," Confirmed","14 449","350","Data not available."
"All countries"," 8 March 2015"," Probable","2558","Not reported","Data not available."
"All countries"," 8 March 2015"," Suspected","7240","Not reported","Data not available."
"All countries"," 8 March 2015"," Total","24 247","350","9961"
