"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 1 February 2015"," Confirmed","2608","89","1597"
"Guinea"," 1 February 2015"," Probable","347","Not reported","347"
"Guinea"," 1 February 2015"," Suspected","20","Not reported","Data not available"
"Guinea"," 1 February 2015"," Total","2975","89","1944"
"Liberia"," 1 February 2015"," Confirmed","3143","17","Data not available"
"Liberia"," 1 February 2015"," Probable","1870","Not reported","Data not available"
"Liberia"," 1 February 2015"," Suspected","3732","Not reported","Data not available"
"Liberia"," 1 February 2015"," Total","8745","17","3746"
"Sierra Leone"," 1 February 2015"," Confirmed","8059","262","2910"
"Sierra Leone"," 1 February 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 1 February 2015"," Suspected","2394","Not reported","158"
"Sierra Leone"," 1 February 2015"," Total","10 740","262","3276"
"All countries"," 1 February 2015"," Total","22 460","368","8966"
