"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 12 April 2015"," Confirmed","3117","106","1932"
"Guinea"," 12 April 2015"," Probable","414","Not reported.","414"
"Guinea"," 12 April 2015"," Suspected","17","Not reported.","Data not available."
"Guinea"," 12 April 2015"," Total","3548","106","2346"
"Liberia"," 11 April 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 11 April 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 11 April 2015"," Suspected","5012","Not reported.","Data not available."
"Liberia"," 11 April 2015"," Total","10 042","0","4486"
"Sierra Leone"," 12 April 2015"," Confirmed","8563","43","3491"
"Sierra Leone"," 12 April 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 12 April 2015"," Suspected","3351","Not reported.","158"
"Sierra Leone"," 12 April 2015"," Total","12 201","43","3857"
"All countries","  "," Confirmed","14 831","149","Data not available."
"All countries","  "," Probable","2580","Not reported.","Data not available."
"All countries","  "," Suspected","8380","Not reported.","Data not available."
"All countries","  "," Total","25 791","149","10 689"
