"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 10 May 2015"," Confirmed","3174","38","1977"
"Guinea"," 10 May 2015"," Probable","415","Not reported.","415"
"Guinea"," 10 May 2015"," Suspected","8","Not reported.","Data not available."
"Guinea"," 10 May 2015"," Total","3597","38","2392"
"Liberia"," 5 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 5 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 5 May 2015"," Suspected","5574","Not reported.","Data not available."
"Liberia"," 5 May 2015"," Total","10 604","0","4769"
"Sierra Leone"," 10 May 2015"," Confirmed","8597","22","3538"
"Sierra Leone"," 10 May 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 10 May 2015"," Suspected","3639","Not reported.","158"
"Sierra Leone"," 10 May 2015"," Total","12 523","22","3904"
"All countries","  "," Confirmed","14 922","60","Data not available."
"All countries","  "," Probable","2581","Not reported.","Data not available."
"All countries","  "," Suspected","9221","Not reported.","Data not available."
"All countries","  "," Total","26 724","60","11 065"
