"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 19 April 2015"," Confirmed","3136","70","1943"
"Guinea"," 19 April 2015"," Probable","415","Not reported.","415"
"Guinea"," 19 April 2015"," Suspected","14","Not reported.","Data not available."
"Guinea"," 19 April 2015"," Total","3565","70","2358"
"Liberia"," 19 April 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 19 April 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 19 April 2015"," Suspected","5182","Not reported.","Data not available."
"Liberia"," 19 April 2015"," Total","10 212","0","4573"
"Sierra Leone"," 19 April 2015"," Confirmed","8575","30","3511"
"Sierra Leone"," 19 April 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 19 April 2015"," Suspected","3405","Not reported.","158"
"Sierra Leone"," 19 April 2015"," Total","12 267","30","3877"
"All countries"," 19 April 2015"," Confirmed","14 862","100","Data not available."
"All countries"," 19 April 2015"," Probable","2581","Not reported.","Data not available."
"All countries"," 19 April 2015"," Suspected","8601","Not reported.","Data not available."
"All countries"," 19 April 2015"," Total","26 044","100","10 808"
