"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 7 December 2014"," Confirmed","2051","321","1207"
"Guinea"," 7 December 2014"," Probable","221","13","221"
"Guinea"," 7 December 2014"," Suspected","20","177","0"
"Guinea"," 7 December 2014"," Total","2292","511","1428"
"Liberia"," 3 December 2014"," Confirmed","2830","225","Not reported"
"Liberia"," 3 December 2014"," Probable","1814","186","Not reported"
"Liberia"," 3 December 2014"," Suspected","3075","441","Not reported"
"Liberia"," 3 December 2014"," Total","7719","852","3177"
"Sierra Leone"," 7 December 2014"," Confirmed","6375","1319","1559"
"Sierra Leone"," 7 December 2014"," Probable","79","0","174"
"Sierra Leone"," 7 December 2014"," Suspected","1443","505","35"
"Sierra Leone"," 7 December 2014"," Total","7897","1824","1768"
"All countries","  "," Total","17 908","3187","6373"
