"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 29 March 2015"," Confirmed","3068","197","1900"
"Guinea"," 29 March 2015"," Probable","414","Not reported","414"
"Guinea"," 29 March 2015"," Suspected","10","Not reported","Data not available."
"Guinea"," 29 March 2015"," Total","3492","197","2314"
"Liberia"," 29 March 2015"," Confirmed","3151","1","Data not available."
"Liberia"," 29 March 2015"," Probable","1879","Not reported","Data not available."
"Liberia"," 29 March 2015"," Suspected","4682","Not reported","Data not available."
"Liberia"," 29 March 2015"," Total","9712","1","4332"
"Sierra Leone"," 29 March 2015"," Confirmed","8545","113","3433"
"Sierra Leone"," 29 March 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 29 March 2015"," Suspected","3142","Not reported","158"
"Sierra Leone"," 29 March 2015"," Total","11 974","113","3799"
"All countries"," 29 March 2015"," Confirmed","14 764","311","Data not available."
"All countries"," 29 March 2015"," Probable","2580","Not reported","Data not available."
"All countries"," 29 March 2015"," Suspected","7834","Not reported","Data not available."
"All countries"," 29 March 2015"," Total","25 178","311","10 445"
