"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 30 November 2014"," Confirmed","1929","306","1117"
"Guinea"," 30 November 2014"," Probable","210","Not reported","210"
"Guinea"," 30 November 2014"," Suspected","25","Not reported","0"
"Guinea"," 30 November 2014"," Total","2164","306","1327"
"Liberia"," 28 November 2014"," Confirmed","2801","278","Data not available"
"Liberia"," 28 November 2014"," Probable","1792","Not reported","Data not available"
"Liberia"," 28 November 2014"," Suspected","3042","Not reported","Data not available"
"Liberia"," 28 November 2014"," Total","7635","278","3145"
"Sierra Leone"," 30 November 2014"," Confirmed","5978","1455","1374"
"Sierra Leone"," 30 November 2014"," Probable","79","Not reported","174"
"Sierra Leone"," 30 November 2014"," Suspected","1255","Not reported","35"
"Sierra Leone"," 30 November 2014"," Total","7312","1455","1583"
"All countries","  "," Total","17 111","2039","6055"
