"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 8 February 2015"," Confirmed","2674","1643"
"Guinea"," 8 February 2015"," Probable","352","352"
"Guinea"," 8 February 2015"," Suspected","18","Not available"
"Guinea"," 8 February 2015"," Total","3044","1995"
"Liberia"," 7 February 2015"," Confirmed","3146","Not available"
"Liberia"," 7 February 2015"," Probable","1873","Not available"
"Liberia"," 7 February 2015"," Suspected","3862","Not available"
"Liberia"," 7 February 2015"," Total","8881","3826"
"Sierra Leone"," 8 February 2015"," Confirmed","8135","2975"
"Sierra Leone"," 8 February 2015"," Probable","287","208"
"Sierra Leone"," 8 February 2015"," Suspected","2512","158"
"Sierra Leone"," 8 February 2015"," Total","10 934","3341"
"All countries","  "," Total","22 859","9162"
