"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 4 January 2015"," Confirmed","2471","1499"
"Guinea"," 4 January 2015"," Probable","282","282"
"Guinea"," 4 January 2015"," Suspected","22","0"
"Guinea"," 4 January 2015"," Total","2775","1781"
"Liberia"," 2 January 2015"," Confirmed","3118","Not available"
"Liberia"," 2 January 2015"," Probable","1816","Not available"
"Liberia"," 2 January 2015"," Suspected","3223","Not available"
"Liberia"," 2 January 2015"," Total","8157","3496"
"Sierra Leone"," 4 January 2015"," Confirmed","7602","2577"
"Sierra Leone"," 4 January 2015"," Probable","287","208"
"Sierra Leone"," 4 January 2015"," Suspected","1891","158"
"Sierra Leone"," 4 January 2015"," Total","9780","2943"
"All countries","  "," Total","20 712","8220"
