"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 5 April 2015"," Confirmed","3089","123","1919"
"Guinea"," 5 April 2015"," Probable","414","Not reported.","414"
"Guinea"," 5 April 2015"," Suspected","12","Not reported.","Data not available. "
"Guinea"," 5 April 2015"," Total","3515","123","2333"
"Liberia"," 5 April 2015"," Confirmed","3151","1","Data not available. "
"Liberia"," 5 April 2015"," Probable","1879","Not reported.","Data not available. "
"Liberia"," 5 April 2015"," Suspected","4832","Not reported.","Data not available. "
"Liberia"," 5 April 2015"," Total","9862","1","4408"
"Sierra Leone"," 5 April 2015"," Confirmed","8554","67","3465"
"Sierra Leone"," 5 April 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 5 April 2015"," Suspected","3297","Not reported.","158"
"Sierra Leone"," 5 April 2015"," Total","12 138","67","3831"
"All countries"," 5 April 2015"," Confirmed","14 794","191","Data not available. "
"All countries"," 5 April 2015"," Probable","2580","Not reported.","Data not available. "
"All countries"," 5 April 2015"," Suspected","8141","Not reported.","Data not available. "
"All countries"," 5 April 2015"," Total","25 515","191","10 572"
