"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 12 April 2015"," Confirmed","3117","1932"
"Guinea"," 12 April 2015"," Probable","414","414"
"Guinea"," 12 April 2015"," Suspected","17","Not available"
"Guinea"," 12 April 2015"," Total","3548","2346"
"Liberia"," 5 April 2015"," Confirmed","3151","Not available"
"Liberia"," 5 April 2015"," Probable","1879","Not available"
"Liberia"," 5 April 2015"," Suspected","4832","Not available"
"Liberia"," 5 April 2015"," Total","9862","4408"
"Sierra Leone"," 12 April 2015"," Confirmed","8563","3491"
"Sierra Leone"," 12 April 2015"," Probable","287","208"
"Sierra Leone"," 12 April 2015"," Suspected","3351","158"
"Sierra Leone"," 12 April 2015"," Total","12 201","3857"
"All countries","  "," Confirmed","14 831","Not available"
"All countries","  "," Probable","2580","Not available"
"All countries","  "," Suspected","8200","Not available"
"All countries","  "," Total","25 611","10 611"
