"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 21 June 2015"," Confirmed","3257","34","2030"
"Guinea"," 21 June 2015"," Probable","443","Not reported.","443"
"Guinea"," 21 June 2015"," Suspected","18","Not reported.","Data not available."
"Guinea"," 21 June 2015"," Total","3718","34","2473"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 21 June 2015"," Confirmed","8657","37","3562"
"Sierra Leone"," 21 June 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 21 June 2015"," Suspected","4115","Not reported.","158"
"Sierra Leone"," 21 June 2015"," Total","13 059","37","3928"
"All countries","  "," Confirmed","15 065","71","Data not available."
"All countries","  "," Probable","2609","Not reported.","Data not available."
"All countries","  "," Suspected","9769","Not reported.","Data not available."
"All countries","  "," Total","27 443","71","11 207"
