"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 17 March 2015"," Confirmed","2979","1836"
"Guinea"," 17 March 2015"," Probable","395","395"
"Guinea"," 17 March 2015"," Suspected","35","Not available"
"Guinea"," 17 March 2015"," Total","3409","2231"
"Liberia"," 17 March 2015"," Confirmed","3150","Not available"
"Liberia"," 17 March 2015"," Probable","1879","Not available"
"Liberia"," 17 March 2015"," Suspected","4526","Not available"
"Liberia"," 17 March 2015"," Total","9555","4283"
"Sierra Leone"," 17 March 2015"," Confirmed","8502","3336"
"Sierra Leone"," 17 March 2015"," Probable","287","208"
"Sierra Leone"," 17 March 2015"," Suspected","2990","158"
"Sierra Leone"," 17 March 2015"," Total","11 779","3702"
"All countries","  "," Confirmed","14 631","Not available"
"All countries","  "," Probable","2561","Not available"
"All countries","  "," Suspected","7551","Not available"
"All countries","  "," Total","24 743","10 216"
