"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 18 January 2015"," Confirmed","2539","1557"
"Guinea"," 18 January 2015"," Probable","319","319"
"Guinea"," 18 January 2015"," Suspected","13","Not available"
"Guinea"," 18 January 2015"," Total","2871","1876"
"Liberia"," 18 January 2015"," Confirmed","3135","Not available"
"Liberia"," 18 January 2015"," Probable","1854","Not available"
"Liberia"," 18 January 2015"," Suspected","3489","Not available"
"Liberia"," 18 January 2015"," Total","8478","3605"
"Sierra Leone"," 18 January 2015"," Confirmed","7903","2779"
"Sierra Leone"," 18 January 2015"," Probable","287","208"
"Sierra Leone"," 18 January 2015"," Suspected","2150","158"
"Sierra Leone"," 18 January 2015"," Total","10 340","3145"
"All countries","  "," Total","21 689","8626"
