"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 18 January 2015"," Confirmed","2539","136","1557"
"Guinea"," 18 January 2015"," Probable","319","Not reported","319"
"Guinea"," 18 January 2015"," Suspected","13","Not reported","Data not available."
"Guinea"," 18 January 2015"," Total","2871","136","1876"
"Liberia"," 18 January 2015"," Confirmed","3135","25","Data not available."
"Liberia"," 18 January 2015"," Probable","1854","Not reported","Data not available."
"Liberia"," 18 January 2015"," Suspected","3489","Not reported","Data not available."
"Liberia"," 18 January 2015"," Total","8478","25","3605"
"Sierra Leone"," 18 January 2015"," Confirmed","7903","549","2779"
"Sierra Leone"," 18 January 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 18 January 2015"," Suspected","2150","Not reported","158"
"Sierra Leone"," 18 January 2015"," Total","10 340","549","3145"
"All countries","  "," Total","21 689","710","8626"
