"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 21 December 2014"," Confirmed","2284","328","1344"
"Guinea"," 21 December 2014"," Probable","263","Not reported","263"
"Guinea"," 21 December 2014"," Suspected","50","Not reported","0"
"Guinea"," 21 December 2014"," Total","2597","328","1607"
"Liberia"," 20 December 2014"," Confirmed","3085","121","Not available"
"Liberia"," 20 December 2014"," Probable","1757","Not reported","Not available"
"Liberia"," 20 December 2014"," Suspected","3020","Not reported","Not available"
"Liberia"," 20 December 2014"," Total","7862","121","3384"
"Sierra Leone"," 21 December 2014"," Confirmed","7017","1039","2216"
"Sierra Leone"," 21 December 2014"," Probable","287","Not reported","208"
"Sierra Leone"," 21 December 2014"," Suspected","1700","Not reported","158"
"Sierra Leone"," 21 December 2014"," Total","9004","1039","2582"
"All countries","  "," Total","19 463","1488","7573"
