"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 28 June 2015"," Confirmed","3269","34","2039"
"Guinea"," 28 June 2015"," Probable","443","Not reported.","443"
"Guinea"," 28 June 2015"," Suspected","17","Not reported.","Data not available."
"Guinea"," 28 June 2015"," Total","3729","34","2482"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 28 June 2015"," Confirmed","8665","30","3566"
"Sierra Leone"," 28 June 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 28 June 2015"," Suspected","4167","Not reported.","158"
"Sierra Leone"," 28 June 2015"," Total","13 119","30","3932"
"All countries","  "," Confirmed","15 085","64","Data not available."
"All countries","  "," Probable","2609","Not reported.","Data not available."
"All countries","  "," Suspected","9820","Not reported.","Data not available."
"All countries","  "," Total","27 514","64","11 220"
