"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 17 May 2015"," Confirmed","3201","43","1988"
"Guinea"," 17 May 2015"," Probable","419","Not reported.","419"
"Guinea"," 17 May 2015"," Suspected","15","Not reported.","Data not available."
"Guinea"," 17 May 2015"," Total","3635","43","2407"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 17 May 2015"," Confirmed","8605","19","3541"
"Sierra Leone"," 17 May 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 17 May 2015"," Suspected","3740","Not reported.","158"
"Sierra Leone"," 17 May 2015"," Total","12 632","19","3907"
"All countries","  "," Confirmed","14 957","62","Data not available."
"All countries","  "," Probable","2585","Not reported.","Data not available."
"All countries","  "," Suspected","9391","Not reported.","Data not available."
"All countries","  "," Total","26 933","62","11 120"
