"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 21 February 2015"," Confirmed","2758","1699"
"Guinea"," 21 February 2015"," Probable","387","387"
"Guinea"," 21 February 2015"," Suspected","10","Not available"
"Guinea"," 21 February 2015"," Total","3155","2086"
"Liberia"," 21 February 2015"," Confirmed","3153","Not available"
"Liberia"," 21 February 2015"," Probable","1888","Not available"
"Liberia"," 21 February 2015"," Suspected","4188","Not available"
"Liberia"," 21 February 2015"," Total","9229","4032"
"Sierra Leone"," 17 February 2015"," Confirmed","8223","3057"
"Sierra Leone"," 17 February 2015"," Probable","287","208"
"Sierra Leone"," 17 February 2015"," Suspected","2645","158"
"Sierra Leone"," 17 February 2015"," Total","11 155","3423"
"All countries","  "," Total","23 539","9541"
