"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 8 March 2015"," Confirmed","2871","1778"
"Guinea"," 8 March 2015"," Probable","392","392"
"Guinea"," 8 March 2015"," Suspected","22","Not available"
"Guinea"," 8 March 2015"," Total","3285","2170"
"Liberia"," 5 March 2015"," Confirmed","3150","Not available"
"Liberia"," 5 March 2015"," Probable","1879","Not available"
"Liberia"," 5 March 2015"," Suspected","4314","Not available"
"Liberia"," 5 March 2015"," Total","9343","4162"
"Sierra Leone"," 8 March 2015"," Confirmed","8428","3263"
"Sierra Leone"," 8 March 2015"," Probable","287","208"
"Sierra Leone"," 8 March 2015"," Suspected","2904","158"
"Sierra Leone"," 8 March 2015"," Total","11 619","3629"
"All countries","  "," Confirmed","14 449","Not available"
"All countries","  "," Probable","2558","Not available"
"All countries","  "," Suspected","7240","Not available"
"All countries","  "," Total","24 247","9961"
