"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 22 February 2015"," Confirmed","2762","152","1704"
"Guinea"," 22 February 2015"," Probable","387","Not reported","387"
"Guinea"," 22 February 2015"," Suspected","6","Not reported","Data not available."
"Guinea"," 22 February 2015"," Total","3155","152","2091"
"Liberia"," 22 February 2015"," Confirmed","3153","10","Data not available."
"Liberia"," 22 February 2015"," Probable","1888","Not reported","Data not available."
"Liberia"," 22 February 2015"," Suspected","4197","Not reported","Data not available."
"Liberia"," 22 February 2015"," Total","9238","10","4037"
"Sierra Leone"," 22 February 2015"," Confirmed","8289","235","3095"
"Sierra Leone"," 22 February 2015"," Probable","287","Not reported","208"
"Sierra Leone"," 22 February 2015"," Suspected","2725","Not reported","158"
"Sierra Leone"," 22 February 2015"," Total","11 301","235","3461"
"All countries"," 22 February 2015"," Total","23 694","397","9589"
