"","","Number of cases","Number of cases","Number of deaths"
"Country","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," Confirmed","1612","313","934"
"Guinea"," Probable","208","12","208"
"Guinea"," Suspected","58","Not reported","0"
"Guinea"," Total","1878","325","1142"
"Liberia"," Confirmed","2553","335","Not reported"
"Liberia"," Probable","1687","131","Not reported"
"Liberia"," Suspected","2582","Not reported","Not reported"
"Liberia"," Total","6822","466","2836"
"Sierra Leone"," Confirmed","4523","1197","960"
"Sierra Leone"," Probable","79","14","174"
"Sierra Leone"," Suspected","766","Not reported","35"
"Sierra Leone"," Total","5368","1211","1169"
