"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 24 May 2015"," Confirmed","3210","43","2001"
"Guinea"," 24 May 2015"," Probable","419","Not reported.","419"
"Guinea"," 24 May 2015"," Suspected","12","Not reported.","Data not available."
"Guinea"," 24 May 2015"," Total","3641","43","2420"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 24 May 2015"," Confirmed","8608","13","3542"
"Sierra Leone"," 24 May 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 24 May 2015"," Suspected","3811","Not reported.","158"
"Sierra Leone"," 24 May 2015"," Total","12 706","13","3908"
"All countries","  "," Confirmed","14 969","56","Data not available."
"All countries","  "," Probable","2585","Not reported.","Data not available."
"All countries","  "," Suspected","9459","Not reported.","Data not available."
"All countries","  "," Total","27 013","56","11 134"
